SampleID,Date,Time,Transect
1,5/17/19,9:24,Main
2,5/17/19,9:28,Main
3,5/17/19,9:32,Main
4,5/17/19,9:36,Main
5,5/17/19,9:40,Main
6,5/17/19,9:44,Main
7,5/17/19,9:48,Main
8,5/17/19,9:52,Main
9,5/17/19,9:56,Main
10,5/17/19,10:00,Main
11,5/17/19,10:05,Main
12,5/17/19,10:09,Main
13,5/17/19,10:13,Main
14,5/17/19,10:17,Main
15,5/17/19,10:21,Main
16,5/17/19,10:25,Main
17,5/17/19,10:29,Main
18,5/17/19,10:33,Main
19,5/17/19,10:37,Main
20,5/17/19,10:41,Main
21,5/17/19,10:45,Main
22,5/17/19,10:49,Main
23,5/17/19,10:53,Main
24,5/17/19,10:57,Main
25,5/17/19,11:02,Main
26,5/17/19,11:06,Main
27,5/17/19,11:10,Main
28,5/17/19,11:14,Main
29,5/17/19,11:18,Main
30,5/17/19,11:22,Main
31,5/17/19,11:26,Main
32,5/17/19,11:30,Main
33,5/17/19,11:34,Main
34,5/17/19,11:36,Main
36,5/17/19,12:39,Dam
1,7/3/19,10:10,Main
2,7/3/19,10:16,Main
3,7/3/19,10:20,Main
4,7/3/19,10:24,Main
5,7/3/19,10:28,Main
6,7/3/19,10:33,Main
7,7/3/19,10:37,Main
8,7/3/19,10:43,Main
9,7/3/19,10:48,Main
10,7/3/19,10:52,Main
11,7/3/19,10:56,Main
12,7/3/19,11:00,Main
13,7/3/19,11:04,Main
14,7/3/19,11:08,Main
15,7/3/19,11:12,Main
16,7/3/19,11:16,Main
17,7/3/19,11:20,Main
18,7/3/19,11:24,Main
19,7/3/19,11:28,Main
20,7/3/19,11:32,Main
21,7/3/19,11:36,Main
22,7/3/19,11:40,Main
23,7/3/19,11:44,Main
24,7/3/19,11:48,Main
25,7/3/19,11:52,Main
26,7/3/19,11:56,Main
27,7/3/19,12:00,Main
28,7/3/19,12:04,Main
29,7/3/19,12:08,Main
30,7/3/19,12:12,Main
31,7/3/19,12:16,Main
32,7/3/19,12:20,Main
33,7/3/19,13:35,Dam
1,8/14/19,9:53,Dead Creek
2,8/14/19,9:57,Dead Creek
3,8/14/19,10:01,Dead Creek
4,8/14/19,10:05,Dead Creek
5,8/14/19,10:09,Dead Creek
6,8/14/19,10:13,Dead Creek
7,8/14/19,10:17,Dead Creek
8,8/14/19,10:21,Dead Creek
9,8/14/19,10:25,Dead Creek
10,8/14/19,10:29,Dead Creek
11,8/14/19,10:33,Dead Creek
12,8/14/19,10:37,Dead Creek
13,8/14/19,10:41,Dead Creek
14,8/14/19,10:45,Dead Creek
15,8/14/19,10:49,Dead Creek
16,8/14/19,10:53,Dead Creek
17,8/14/19,10:57,Dead Creek
18,8/14/19,11:01,Dead Creek
19,8/14/19,11:05,Dead Creek
20,8/14/19,11:10,Dead Creek
21,8/14/19,11:52,Main
22,8/14/19,11:57,Main
23,8/14/19,12:05,Main
24,8/14/19,12:10,Main
25,8/14/19,12:17,Main
26,8/14/19,12:22,Main
27,8/14/19,12:46,Main
28,8/14/19,12:51,Main
29,8/14/19,12:56,Main
30,8/14/19,13:01,Main
31,8/14/19,13:05,Main
32,8/14/19,13:09,Main
33,8/14/19,13:13,Main
34,8/14/19,13:17,Main
35,8/14/19,13:21,Main
36,8/14/19,13:26,Main
37,8/14/19,13:30,Main
38,8/14/19,13:35,Main
39,8/14/19,13:39,Main
40,8/14/19,13:43,Main
41,8/14/19,13:47,Main
42,8/14/19,13:51,Main
43,8/14/19,13:55,Main
44,8/14/19,13:59,Main
45,8/14/19,14:03,Main
46,8/14/19,14:07,Main
47,8/14/19,14:11,Main
48,8/14/19,15:30,Dam
1,10/21/19,10:06,Dead Creek
2,10/21/19,10:12,Dead Creek
3,10/21/19,10:19,Dead Creek
4,10/21/19,10:24,Dead Creek
5,10/21/19,10:30,Dead Creek
6,10/21/19,10:35,Dead Creek
7,10/21/19,10:40,Dead Creek
8,10/21/19,10:45,Dead Creek
9,10/21/19,10:50,Dead Creek
10,10/21/19,10:55,Dead Creek
11,10/21/19,11:00,Dead Creek
12,10/21/19,11:04,Dead Creek
13,10/21/19,11:08,Dead Creek
14,10/21/19,11:12,Dead Creek
15,10/21/19,11:16,Dead Creek
16,10/21/19,11:20,Dead Creek
17,10/21/19,11:24,Dead Creek
18,10/21/19,12:05,Main
19,10/21/19,12:11,Main
20,10/21/19,12:17,Main
21,10/21/19,12:23,Main
22,10/21/19,12:29,Main
23,10/21/19,12:47,Main
24,10/21/19,12:52,Main
25,10/21/19,12:57,Main
26,10/21/19,13:02,Main
27,10/21/19,13:07,Main
28,10/21/19,13:12,Main
29,10/21/19,13:17,Main
30,10/21/19,13:22,Main
31,10/21/19,13:28,Main
32,10/21/19,13:32,Main
33,10/21/19,13:36,Main
34,10/21/19,13:40,Main
35,10/21/19,13:44,Main
36,10/21/19,13:48,Main
37,10/21/19,13:52,Main
38,10/21/19,13:56,Main
39,10/21/19,14:01,Main
40,10/21/19,14:05,Main
41,10/21/19,14:09,Main
42,10/21/19,14:13,Main
43,10/21/19,14:17,Main
44,10/21/19,14:21,Main
45,10/21/19,14:24,Main
46,10/21/19,15:45,Dam